Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,479618,0,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,375806,123656,10496,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,246000,0,5412,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,211806,193356,9840,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,492000,0,11562,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,444194,344072,21894,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,191306,124312,7790,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,248952,205328,12956,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,328492,125132,13776,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,1052962,899376,28618,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,262400,57400,5740,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,205000,150880,8938,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,251986,664692,16400,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,151946,232880,9348,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,106518,89052,1394,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,405900,0,10250,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,294872,0,8200,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,287820,0,6232,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,400734,0,10906,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,213200,287000,9430,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,628120,0,8528,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,488310,461250,25830,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,213200,156702,9512,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,275930,157194,9184,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,304794,239850,12382,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,783920,0,15662,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,229518,184746,10004,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,346532,85280,9020,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,118244,0,2870,360,1,Urban,N
LP001087,Female,No,2,Graduate,,307500,170806,9840,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,341612,276258,16482,360,,Urban,N
LP001095,Male,No,0,Graduate,No,259694,0,6068,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,384744,0,8692,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,287000,136694,9348,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,1025000,246000,26240,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,186550,169494,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,149896,109060,8200,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,300694,119638,11808,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,341612,591220,15088,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,307336,136776,9020,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,295200,0,6560,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,147600,99466,3854,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,196800,0,6150,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,323162,191552,10988,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,384990,0,7872,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,279620,0,7216,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,463218,0,3608,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,477322,0,11808,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,216890,282080,9840,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,328000,186550,11808,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,158096,134808,8200,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,253052,0,9840,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,346860,0,9184,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,378512,0,10988,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,943000,0,23452,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,222056,95694,7954,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,174824,130462,7872,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,276012,180400,11070,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,662560,184500,14760,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,275274,234438,11808,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,205000,311272,9840,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,248378,0,8118,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,213938,282818,13530,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,405490,0,,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,341612,0,9512,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,469532,376790,21156,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,262400,184828,10332,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,881500,0,25584,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,582200,0,10250,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,352600,0,11152,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,263056,251412,14104,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,153750,153750,7954,360,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,287000,0,6642,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,389910,0,7790,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,431812,145468,15334,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,307500,0,9266,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,307500,389500,14432,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,82000,247804,9020,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,259694,328000,14760,300,0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,273306,177612,10660,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,315372,0,9102,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,196390,0,,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,112996,154242,13694,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,492000,184500,21730,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,327016,0,4100,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,194012,207542,11152,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,273306,164000,8118,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,205000,173676,8528,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,702412,0,17220,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,466990,341694,14350,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,242556,237800,10742,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,512500,463628,15416,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,268386,149240,6642,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,338906,0,10004,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,296840,0,2050,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,556124,0,,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,203688,188764,11234,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,162114,81754,4100,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,343416,0,9430,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,144238,290362,10742,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,351616,267566,10906,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,397126,312092,12382,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,1119300,0,,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,381464,293806,,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,312912,61828,13120,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,250264,84460,8200,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,936194,92332,18450,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,601306,0,9840,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,311600,295200,17712,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,169822,61828,7708,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,435912,0,11152,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,240178,191306,11398,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,292904,337348,12464,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,610982,0,,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,414100,0,9676,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,1195806,0,15170,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,259694,187206,12628,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,181548,114636,6970,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,456576,175644,14350,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,853456,0,21238,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,464694,218694,14760,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,341612,0,3608,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,175234,736360,11234,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,242474,0,6642,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,352600,165148,15908,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,302744,0,7626,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,1951846,0,30340,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,316930,134480,,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,862066,315700,13120,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,498560,210658,14924,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,1653612,0,53300,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,165148,158178,6068,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,222876,0,5740,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,283638,0,2050,120,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,401390,0,8364,360,1,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,328000,635500,23780,360,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,375806,0,6888,360,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,271912,287000,7216,360,1,Urban,Y
LP001492,Male,No,0,Graduate,No,1229918,0,19844,360,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,344400,117260,10578,360,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,413444,170806,15170,360,1,Rural,N
LP001498,Male,No,0,Graduate,No,444194,0,13776,360,1,Urban,Y
